,RA,DEC,z,xVal,yVal,zVal
21563,185.680474,36.653715999999996,0.045364,-108.64476781304249,-10.806796509356154,81.24383078151509
8061,154.138378,63.475607999999994,0.056641,-68.2842323962564,33.10053752911685,152.0376399130741
12603,38.272828000000004,0.634165,0.05519400000000001,129.98553253964997,102.5563327195759,1.8326684084277434
5152,163.307283,36.8132,0.056455,-129.8784905276621,38.94742008947131,101.48487272313166
22791,141.839925,51.314032,0.05925,-87.3588393538171,68.64611243212941,138.7487186777212
2176,221.15057599999997,20.933932000000002,0.050622,-106.80442921287144,-93.33759424536278,54.26038478485713
19968,120.444708,48.042778000000006,0.026508999999999998,-26.9414951849229,45.83867918771559,59.1397924964779
8831,225.12710800000002,28.335116999999997,0.041065,-76.50454595632324,-76.84474472457987,58.47176824101508
16820,143.095602,14.561041000000001,0.03537,-82.12430699031833,61.67053191561884,26.677252381094103
16703,156.299453,14.646078,0.034969,-92.937684999168,40.797849691276625,26.525474860281424
13661,247.15007999999997,46.622341999999996,0.051211,-40.97374306787022,-97.235447256942,111.66699989142096
21890,224.33381699999998,-0.5843550000000001,0.052096,-111.78392785467597,-109.21424709959793,-1.5939409802642819
24545,27.129676,-8.054188,0.050613,133.8002245555728,68.55650570676401,-21.274100572215254
12581,54.95158299999999,-5.472213,0.055171000000000005,94.6157138132428,134.88250819710848,-15.783816112318997
15511,188.386648,63.06377,0.047303,-63.59713186948285,-9.376064285295099,126.51347168382354
22538,160.518363,54.690224,0.053674,-87.74179559205204,31.03935586036892,131.40022898783675
19697,145.067159,45.387218,0.0437,-75.48370812526336,52.72251172886777,93.32607655237335
4668,214.929493,38.787283,0.04515,-86.56066240665763,-60.45181952135767,84.85005445064755
2878,136.843329,1.429973,0.03015,-65.96146877290933,61.84813834881761,2.2571929704886298
17676,236.817394,14.818429,0.057629,-91.4756028628753,-139.88203848479412,44.21701210181543
16885,168.19201,20.448224,0.042972,-118.23666784550784,24.718135272071127,45.03819736027016
12806,137.81045500000002,35.844257,0.055389,-99.80060630074773,90.46048540455095,97.30473498949664
14904,218.46952400000004,56.02302099999999,0.053065,-69.65628044490012,-55.34663962169188,132.01439354164373
10002,147.938309,6.938109,0.047851,-120.76699646334944,75.64451996037741,17.340789318407978
19729,143.95625900000002,49.690435,0.032741,-51.37814081418159,37.388365496454156,74.9009646198344
8619,206.358995,22.464542,0.032193,-79.97084890141895,-39.62656337399822,36.903956998578366
23646,251.246779,25.487278,0.034041,-29.636636186973114,-87.29059257253911,43.944617108992745
11077,137.36746000000002,24.648439,0.043306,-86.87321182094682,79.97511730374421,54.18221483259292
